frame,object_index,tlv1_range,tlv1_angle,tlv1_elevation,tlv1_doppler,tlv1_x_derived,tlv1_y_derived,tlv1_z_derived,tlv7_snr,tlv7_noise,tlv8_x,tlv8_y,tlv8_z,tlv8_doppler,tlv9_snr,tlv9_noise,tlv11_targetID,tlv10_targetID,tlv10_x,tlv10_y,tlv10_vx,tlv10_vy,tlv10_ax,tlv10_ay,tlv10_z,tlv10_vz,tlv10_az
1,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
2,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
3,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
4,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
5,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
6,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
7,0,0.633198082447052,0.28523966670036316,-0.0312550887465477,-0.294373095035553,0.17808696853066974,0.6073164747174344,-0.01978744023282717,181,530,,,,,-1,-1,-1,-1,,,,,,,,,
7,1,0.7035534381866455,0.28523966670036316,-0.0312550887465477,-0.294373095035553,0.1978744132038124,0.674796095723447,-0.02198604511706245,171,532,,,,,-1,-1,-1,-1,,,,,,,,,
7,2,0.633198082447052,0.3179844617843628,-0.0312550887465477,-0.1471865475177765,0.19787440263897282,0.6011605356341395,-0.01978744023282717,178,566,,,,,-1,-1,-1,-1,,,,,,,,,
7,3,0.7035534381866455,0.35108622908592224,-0.0312550887465477,-0.1471865475177765,0.241846500852877,0.6603138073897743,-0.02198604511706245,155,570,,,,,-1,-1,-1,-1,,,,,,,,,
8,0,0.633198082447052,-0.31927934288978577,-0.09388787299394608,-0.294373095035553,-0.19787439793591508,0.5985496214611568,-0.05936231889699662,191,554,,,,,-1,-1,-1,-1,,,,,,,,,
8,1,0.7035534381866455,-0.1909906268119812,-0.15689286589622498,-0.294373095035553,-0.13191627165997635,0.6822762520652649,-0.10993022115576975,165,548,,,,,-1,-1,-1,-1,,,,,,,,,
8,2,0.5628427267074585,-0.28567060828208923,-0.06254076212644577,-0.1471865475177765,-0.1582995247984835,0.5389765550994754,-0.0351776706045655,178,570,,,,,-1,-1,-1,-1,,,,,,,,,
8,3,0.633198082447052,-0.25318607687950134,-0.06254076212644577,-0.1471865475177765,-0.15829952778402018,0.6118127981354722,-0.039574880361458765,205,569,,,,,-1,-1,-1,-1,,,,,,,,,
8,4,0.7035534381866455,-0.22097241878509521,-0.06254076212644577,-0.1471865475177765,-0.1539023138170742,0.6851043522534538,-0.043972090118352035,159,570,,,,,-1,-1,-1,-1,,,,,,,,,
9,0,0.28142136335372925,-0.5480592250823975,0.2850964367389679,-0.7359327077865601,-0.14071068186529498,0.23050770843828422,0.07914975749429956,197,551,,,,,-1,-1,-1,-1,,,,,,,,,
9,1,0.35177671909332275,-0.5480592250823975,0.2850964367389679,-0.7359327077865601,-0.17588835978219933,0.2881346477531565,0.09893720105882597,210,543,,,,,-1,-1,-1,-1,,,,,,,,,
9,2,0.28142136335372925,-0.43712687492370605,0.2850964367389679,-0.588746190071106,-0.1143274289944091,0.24466822151639073,0.07914975749429956,170,600,,,,,-1,-1,-1,-1,,,,,,,,,
