frame,object_index,tlv1_range,tlv1_angle,tlv1_elevation,tlv1_doppler,tlv1_x_derived,tlv1_y_derived,tlv1_z_derived,tlv7_snr,tlv7_noise,tlv8_x,tlv8_y,tlv8_z,tlv8_doppler,tlv9_snr,tlv9_noise,tlv11_targetID,tlv10_targetID,tlv10_x,tlv10_y,tlv10_vx,tlv10_vy,tlv10_ax,tlv10_ay,tlv10_z,tlv10_vz,tlv10_az
1,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
2,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
3,0,0.42213204503059387,0.5238808989524841,-0.0312550887465477,0.1471865475177765,0.21106601681999196,0.365338994600134,-0.01319162651144392,151,495,,,,,-1,-1,-1,-1,,,,,,,,,
3,1,0.42213204503059387,0.4878751337528229,0.0,-0.1471865475177765,0.19787439096698772,0.3728822720928886,0.0,154,480,,,,,-1,-1,-1,-1,,,,,,,,,
3,2,0.492487370967865,0.5235987901687622,0.0,-0.1471865475177765,0.24624369169833088,0.42650657071329723,0.0,162,481,,,,,-1,-1,-1,-1,,,,,,,,,
5,0,0.35177671909332275,-0.2206428050994873,-0.0312550887465477,-0.44155964255332947,-0.07695115729768,0.34308094225945845,-0.010993022558531225,180,502,,,,,-1,-1,-1,-1,,,,,,,,,
5,1,0.42213204503059387,-0.2206428050994873,-0.0312550887465477,-0.44155964255332947,-0.09234138484566119,0.41169711327197744,-0.01319162651144392,196,508,,,,,-1,-1,-1,-1,,,,,,,,,
5,2,0.492487370967865,-0.2206428050994873,-0.0312550887465477,-0.44155964255332947,-0.10773161239364237,0.48031328428449643,-0.015390230464356615,151,510,,,,,-1,-1,-1,-1,,,,,,,,,
5,3,0.35177671909332275,-0.2206428050994873,-0.0312550887465477,-0.294373095035553,-0.07695115729768,0.34308094225945845,-0.010993022558531225,178,571,,,,,-1,-1,-1,-1,,,,,,,,,
5,4,0.42213204503059387,-0.2206428050994873,-0.0312550887465477,-0.294373095035553,-0.09234138484566119,0.41169711327197744,-0.01319162651144392,195,578,,,,,-1,-1,-1,-1,,,,,,,,,
5,5,0.492487370967865,-0.18870966136455536,-0.0312550887465477,-0.294373095035553,-0.09234138218208565,0.4835080356165712,-0.015390230464356615,153,579,,,,,-1,-1,-1,-1,,,,,,,,,
5,6,0.42213204503059387,-0.2206428050994873,-0.0312550887465477,-0.1471865475177765,-0.09234138484566119,0.41169711327197744,-0.01319162651144392,174,596,,,,,-1,-1,-1,-1,,,,,,,,,
6,0,0.42213204503059387,0.1276029497385025,-0.18861638009548187,0.0,0.05276650410407638,0.41127420977226137,-0.07914975592222477,157,591,,,,,-1,-1,-1,-1,,,,,,,,,
6,1,0.35177671909332275,0.09558821469545364,-0.18861638009548187,0.1471865475177765,0.032979067493565745,0.3439604133184523,-0.06595813272915495,153,619,,,,,-1,-1,-1,-1,,,,,,,,,
6,2,0.42213204503059387,0.1276029497385025,-0.18861638009548187,0.1471865475177765,0.05276650410407638,0.41127420977226137,-0.07914975592222477,165,625,,,,,-1,-1,-1,-1,,,,,,,,,
8,0,0.35177671909332275,0.032570239156484604,0.2850964367389679,-0.294373095035553,0.010993022645420625,0.33739804948432234,0.09893720105882597,157,593,,,,,-1,-1,-1,-1,,,,,,,,,
