frame,object_index,tlv1_range,tlv1_angle,tlv1_elevation,tlv1_doppler,tlv1_x_derived,tlv1_y_derived,tlv1_z_derived,tlv7_snr,tlv7_noise,tlv8_x,tlv8_y,tlv8_z,tlv8_doppler,tlv9_snr,tlv9_noise,tlv11_targetID,tlv10_targetID,tlv10_x,tlv10_y,tlv10_vx,tlv10_vy,tlv10_ax,tlv10_ay,tlv10_z,tlv10_vz,tlv10_az
1,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
2,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
3,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
4,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
5,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
6,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
7,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
8,0,0.7035534381866455,-0.10000033676624298,-0.3509073555469513,0.0,-0.06595813644717895,0.657379064130958,-0.2418465022756605,150,497,,,,,-1,-1,-1,-1,,,,,,,,,
8,1,0.633198082447052,-0.09784951061010361,-0.2850964367389679,-0.294373095035553,-0.05936232041019673,0.6047321404749695,-0.17808695855312554,157,491,,,,,-1,-1,-1,-1,,,,,,,,,
8,2,0.7035534381866455,-0.09885367751121521,-0.31782370805740356,-0.294373095035553,-0.06595813568156216,0.6650551452947955,-0.21986045219316075,187,490,,,,,-1,-1,-1,-1,,,,,,,,,
8,3,0.7739087343215942,-0.13197310268878937,-0.31782370805740356,-0.294373095035553,-0.09673859419901365,0.7287569226762477,-0.24184648251131544,171,488,,,,,-1,-1,-1,-1,,,,,,,,,
8,4,0.7035534381866455,-0.09784951061010361,-0.2850964367389679,-0.1471865475177765,-0.06595813503087092,0.6719246131777591,-0.19787440211765195,157,543,,,,,-1,-1,-1,-1,,,,,,,,,
9,0,0.633198082447052,0.1986902356147766,-0.31782370805740356,-0.44155964255332947,0.11872463787261871,0.5896524336553423,-0.19787440324855432,151,506,,,,,-1,-1,-1,-1,,,,,,,,,
9,1,0.7035534381866455,0.09558821469545364,-0.18861638009548187,-0.44155964255332947,0.06595813498713149,0.6879208266369046,-0.1319162654583099,159,506,,,,,-1,-1,-1,-1,,,,,,,,,
9,2,0.633198082447052,0.06459463387727737,-0.252680242061615,-0.294373095035553,0.03957488088995977,0.6118128020319838,-0.15829951259224312,169,502,,,,,-1,-1,-1,-1,,,,,,,,,
9,3,0.7035534381866455,-0.0320311076939106,-0.22053326666355133,-0.294373095035553,-0.02198604487240061,0.6861618836406977,-0.1539023185457852,169,500,,,,,-1,-1,-1,-1,,,,,,,,,
10,0,0.8442640900611877,0.09505889564752579,-0.15689286589622498,-0.294373095035553,0.07914975765306585,0.8301296706123401,-0.13191625979898844,161,470,,,,,-1,-1,-1,-1,,,,,,,,,
11,0,0.8442640900611877,0.15886034071445465,-0.15689286589622498,0.294373095035553,0.13191626531491238,0.8233942270339626,-0.13191625979898844,153,500,,,,,-1,-1,-1,-1,,,,,,,,,
11,1,0.35177671909332275,-0.06281778961420059,-0.09388787299394608,-0.44155964255332947,-0.02198604556379199,0.3495366290645239,-0.032979066674768714,171,506,,,,,-1,-1,-1,-1,,,,,,,,,
