frame,object_index,tlv1_range,tlv1_angle,tlv1_elevation,tlv1_doppler,tlv1_x_derived,tlv1_y_derived,tlv1_z_derived,tlv7_snr,tlv7_noise,tlv8_x,tlv8_y,tlv8_z,tlv8_doppler,tlv9_snr,tlv9_noise,tlv11_targetID,tlv10_targetID,tlv10_x,tlv10_y,tlv10_vx,tlv10_vy,tlv10_ax,tlv10_ay,tlv10_z,tlv10_vz,tlv10_az
1,0,0.42213204503059387,0.24174262583255768,0.4183463752269745,-0.1471865475177765,0.09234138318041994,0.3745121114861095,0.17149113896716073,170,554,,,,,-1,-1,-1,-1,,,,,,,,,
1,1,0.492487370967865,0.20666362345218658,0.4183463752269745,-0.1471865475177765,0.09234138064977324,0.44044032387128573,0.20007298940809096,163,552,,,,,-1,-1,-1,-1,,,,,,,,,
2,0,0.7035534381866455,-0.22876891493797302,-0.5974063873291016,-0.294373095035553,-0.13191627294264882,0.5665407584681056,-0.39574879192684126,156,536,,,,,-1,-1,-1,-1,,,,,,,,,
3,0,0.633198082447052,0.2528064250946045,0.0312550887465477,-0.44155964255332947,0.15829952171731151,0.6127720051109763,0.01978744023282717,183,523,,,,,-1,-1,-1,-1,,,,,,,,,
3,1,0.7035534381866455,-0.5714378952980042,-0.18861638009548187,-0.44155964255332947,-0.373762769573939,0.5812804240400681,-0.1319162654583099,178,517,,,,,-1,-1,-1,-1,,,,,,,,,
4,0,0.42213204503059387,0.11677556484937668,0.6357113122940063,0.0,0.03957487770378101,0.3373550448621435,0.250640910871516,154,604,,,,,-1,-1,-1,-1,,,,,,,,,
4,1,0.492487370967865,0.11677556484937668,0.6357113122940063,0.0,0.046170689257427365,0.3935808737639476,0.2924143871692039,158,603,,,,,-1,-1,-1,-1,,,,,,,,,
4,2,0.42213204503059387,0.11677556484937668,0.6357113122940063,0.1471865475177765,0.03957487770378101,0.3373550448621435,0.250640910871516,168,634,,,,,-1,-1,-1,-1,,,,,,,,,
4,3,0.492487370967865,0.11677556484937668,0.6357113122940063,0.1471865475177765,0.046170689257427365,0.3935808737639476,0.2924143871692039,166,638,,,,,-1,-1,-1,-1,,,,,,,,,
4,4,0.42213204503059387,0.11363373696804047,0.5974063873291016,0.294373095035553,0.03957488044575801,0.34676669214894307,0.23744926509782135,164,587,,,,,-1,-1,-1,-1,,,,,,,,,
4,5,0.492487370967865,0.15176774561405182,0.5974063873291016,0.294373095035553,0.06156092447370591,0.40250676043225647,0.2770241342322221,158,595,,,,,-1,-1,-1,-1,,,,,,,,,
5,0,0.28142136335372925,-0.46883586049079895,0.252680242061615,-0.8831192851066589,-0.12312185010007175,0.243082538033567,0.07035533727420133,159,564,,,,,-1,-1,-1,0,-0.15491344034671783,0.3342137932777405,0.2777879238128662,-0.5993059873580933,0.9925000071525574,0.0659208595752716,0.08834249526262283,-0.15841412544250488,0.0
5,1,0.35177671909332275,-0.46883586049079895,0.252680242061615,-0.8831192851066589,-0.1539023191443479,0.3038531854130928,0.08794417531804179,234,553,,,,,-1,-1,-1,-1,,,,,,,,,
5,2,0.42213204503059387,-0.46883586049079895,0.252680242061615,-0.8831192851066589,-0.18468277515010761,0.36462380705035047,0.105533005911302,228,552,,,,,-1,-1,-1,-1,,,,,,,,,
5,3,0.28142136335372925,-0.42940863966941833,0.22053326666355133,-0.7359327077865601,-0.11432742964611822,0.24967473864779738,0.061560924810610804,212,594,,,,,-1,-1,-1,-1,,,,,,,,,
5,4,0.35177671909332275,-0.42940863966941833,0.22053326666355133,-0.7359327077865601,-0.14290929311124456,0.31209343652993543,0.0769511592728926,277,592,,,,,-1,-1,-1,-1,,,,,,,,,
5,5,0.42213204503059387,-0.42940863966941833,0.22053326666355133,-0.7359327077865601,-0.17149114446917732,0.37451210797169604,0.09234138721591621,273,591,,,,,-1,-1,-1,-1,,,,,,,,,
5,6,0.492487370967865,-0.46883586049079895,0.252680242061615,-0.7359327077865601,-0.21546323115586732,0.42539442868760824,0.12312183650456224,197,588,,,,,-1,-1,-1,-1,,,,,,,,,
5,7,0.28142136335372925,-0.42940863966941833,0.22053326666355133,-0.588746190071106,-0.11432742964611822,0.24967473864779738,0.061560924810610804,165,641,,,,,-1,-1,-1,-1,,,,,,,,,
5,8,0.35177671909332275,-0.42940863966941833,0.22053326666355133,-0.588746190071106,-0.14290929311124456,0.31209343652993543,0.0769511592728926,233,636,,,,,-1,-1,-1,-1,,,,,,,,,
