frame,object_index,tlv1_range,tlv1_angle,tlv1_elevation,tlv1_doppler,tlv1_x_derived,tlv1_y_derived,tlv1_z_derived,tlv7_snr,tlv7_noise,tlv8_x,tlv8_y,tlv8_z,tlv8_doppler,tlv9_snr,tlv9_noise,tlv11_targetID,tlv10_targetID,tlv10_x,tlv10_y,tlv10_vx,tlv10_vy,tlv10_ax,tlv10_ay,tlv10_z,tlv10_vz,tlv10_az
1,0,0.5628427267074585,-0.7752760052680969,-0.18861638009548187,0.1471865475177765,-0.3869543714049402,0.3948683751612099,-0.1055330078962997,168,435,,,,,-1,-1,-1,-1,,,,,,,,,
1,1,0.633198082447052,-0.7752760052680969,-0.18861638009548187,0.1471865475177765,-0.43532367807510586,0.4442269325104311,-0.11872463667730479,165,434,,,,,-1,-1,-1,-1,,,,,,,,,
1,2,0.8442640900611877,0.2266693115234375,-0.8020027875900269,-1.7662385702133179,0.13191626160460296,0.571975285604006,-0.6068148204760057,154,408,,,,,-1,-1,-1,-1,,,,,,,,,
1,3,0.5628427267074585,-0.8102099299430847,-0.12532782554626465,-0.1471865475177765,-0.4045432090883669,0.38495045583194715,-0.0703553376990602,164,464,,,,,-1,-1,-1,-1,,,,,,,,,
1,4,0.633198082447052,-0.8102099299430847,-0.12532782554626465,-0.1471865475177765,-0.4551111209346223,0.4330692730024354,-0.0791497567740878,162,461,,,,,-1,-1,-1,-1,,,,,,,,,
2,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
3,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
4,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
5,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
6,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
7,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
8,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
9,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
10,0,0.5628427267074585,-0.8622773289680481,-0.15689286589622498,-0.1471865475177765,-0.4221320534804899,0.36174892789353036,-0.08794417319932563,154,451,,,,,-1,-1,-1,-1,,,,,,,,,
11,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
12,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
13,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
14,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
15,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
16,0,0.28142136335372925,-0.22876891493797302,-0.5974063873291016,0.0,-0.05276650694188529,0.22661629378784043,-0.15829951006521426,153,540,,,,,-1,-1,-1,-1,,,,,,,,,
17,0,0.28142136335372925,-0.07223157584667206,-0.5235987901687622,0.44155964255332947,-0.017588834672666448,0.24308253682527303,-0.14071068522794952,198,589,-0.8457285165786743,0.8457285761833191,0.0,0.0,6,0,-1,-1,,,,,,,,,
17,1,0.35177671909332275,-0.07223157584667206,-0.5235987901687622,0.44155964255332947,-0.021986044272155607,0.30385318390272525,-0.1758883639855177,188,592,0.47904884815216064,1.246002435684204,0.06996016204357147,0.0,232,0,-1,-1,,,,,,,,,
17,2,0.21106602251529694,-0.07383818924427032,-0.5600752830505371,0.588746190071106,-0.013191626762079254,0.1783310811331748,-0.11212882031694998,157,571,0.0,1.5456962585449219,0.0810065045952797,0.0,5,0,-1,-1,,,,,,,,,
17,3,0.28142136335372925,-0.07383818924427032,-0.5600752830505371,0.588746190071106,-0.017588835682772336,0.23777477484423304,-0.1495050937559333,211,574,0.38032016158103943,1.7254924774169922,0.47344186902046204,0.0,10,0,-1,-1,,,,,,,,,
17,4,0.35177671909332275,-0.11088375002145767,-0.5600752830505371,0.588746190071106,-0.03297906775778446,0.2962002579716171,-0.1868813751111582,196,581,,,,,-1,-1,-1,-1,,,,,,,,,
17,5,0.28142136335372925,-0.7626630663871765,-0.31782370805740356,0.7359327077865601,-0.18468277122779841,0.19327720886994043,-0.08794417715197396,165,560,,,,,-1,-1,-1,-1,,,,,,,,,
17,6,0.5628427267074585,-0.6786783933639526,-0.09388787299394608,-0.44155964255332947,-0.3517767094956554,0.43618892428924566,-0.05276650444445581,176,539,,,,,-1,-1,-1,-1,,,,,,,,,
17,7,0.633198082447052,-0.6004191040992737,-0.09388787299394608,-0.44155964255332947,-0.3561739131374588,0.520150045958034,-0.05936231889699662,162,523,,,,,-1,-1,-1,-1,,,,,,,,,
17,8,0.7035534381866455,-1.0883891582489014,-0.15689286589622498,-0.44155964255332947,-0.6156092434042085,0.322378731147375,-0.10993022115576975,172,516,,,,,-1,-1,-1,-1,,,,,,,,,
17,9,0.7739087343215942,-0.9659748077392578,-0.15689286589622498,-0.44155964255332947,-0.6288008482199304,0.43465134691587376,-0.12092323582076638,227,513,,,,,-1,-1,-1,-1,,,,,,,,,
17,10,0.8442640900611877,-0.8766735196113586,-0.22053326666355133,-0.44155964255332947,-0.6331980745296808,0.5270050521645034,-0.18468277443183242,262,461,,,,,-1,-1,-1,-1,,,,,,,,,
17,11,0.5628427267074585,-0.6786783933639526,-0.09388787299394608,-0.294373095035553,-0.3517767094956554,0.43618892428924566,-0.05276650444445581,151,550,,,,,-1,-1,-1,-1,,,,,,,,,
17,12,0.7035534381866455,-0.9283639192581177,-0.22053326666355133,-0.294373095035553,-0.549651119276648,0.4113212416207188,-0.1539023185457852,194,525,,,,,-1,-1,-1,-1,,,,,,,,,
17,13,0.7739087343215942,-0.9283639192581177,-0.22053326666355133,-0.294373095035553,-0.60461619395141,0.4524533379052704,-0.16929253996955063,252,520,,,,,-1,-1,-1,-1,,,,,,,,,
17,14,0.8442640900611877,-0.8766735196113586,-0.22053326666355133,-0.294373095035553,-0.6331980745296808,0.5270050521645034,-0.18468277443183242,290,467,,,,,-1,-1,-1,-1,,,,,,,,,
17,15,0.9146194458007812,0.32042545080184937,-0.12532782554626465,-0.294373095035553,0.28581856878442596,0.8612582168694976,-0.1143274256236179,171,505,,,,,-1,-1,-1,-1,,,,,,,,,
17,16,0.7035534381866455,0.0312550887465477,0.0,-0.1471865475177765,0.02198604511706245,0.7032098223178915,0.0,163,559,,,,,-1,-1,-1,-1,,,,,,,,,
17,17,0.7739087343215942,-0.8766735196113586,-0.22053326666355133,-0.1471865475177765,-0.580431557143003,0.4830879551825514,-0.16929253996955063,199,559,,,,,-1,-1,-1,-1,,,,,,,,,
17,18,0.8442640900611877,0.45887571573257446,-0.15689286589622498,-0.1471865475177765,0.3693655487536375,0.7476289491194248,-0.13191625979898844,214,527,,,,,-1,-1,-1,-1,,,,,,,,,
19,0,0.35177671909332275,-0.4263882040977478,-0.18861638009548187,0.0,-0.1429092908502137,0.31460025335596076,-0.06595813272915495,158,577,0.0,0.702589213848114,-0.036821141839027405,0.0,7,0,-1,-1,,,,,,,,,
19,1,0.42213204503059387,-0.42940863966941833,-0.22053326666355133,0.0,-0.17149114446917732,0.37451210797169604,-0.09234138721591621,166,573,0.04050325229763985,0.7728481292724609,0.0,0.0,19,0,-1,-1,,,,,,,,,
19,2,0.35177671909332275,-0.36293917894363403,-0.252680242061615,0.1471865475177765,-0.12092324846266209,0.31841835704765725,-0.08794417531804179,166,636,-0.8888315558433533,0.7978557348251343,0.06259593367576599,0.0,6,0,-1,-1,,,,,,,,,
19,3,0.42213204503059387,-0.3663491904735565,-0.2850964367389679,0.1471865475177765,-0.14510788865590551,0.3782110850317217,-0.11872463624144933,176,629,-0.9452260136604309,0.9426333904266357,-0.06996016204357147,0.0,14,0,-1,-1,,,,,,,,,
19,4,0.35177671909332275,-0.2974470555782318,-0.2850964367389679,0.294373095035553,-0.09893720277172481,0.322753342740884,-0.09893720105882597,182,632,0.5000429749488831,1.5366419553756714,0.08468861877918243,0.0,6,0,-1,-1,,,,,,,,,
