frame,object_index,tlv1_range,tlv1_angle,tlv1_elevation,tlv1_doppler,tlv1_x_derived,tlv1_y_derived,tlv1_z_derived,tlv7_snr,tlv7_noise,tlv8_x,tlv8_y,tlv8_z,tlv8_doppler,tlv9_snr,tlv9_noise,tlv11_targetID,tlv10_targetID,tlv10_x,tlv10_y,tlv10_vx,tlv10_vy,tlv10_ax,tlv10_ay,tlv10_z,tlv10_vz,tlv10_az
1,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
2,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
3,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
4,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
5,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
6,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
7,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
8,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
9,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
10,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
11,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
12,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
13,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
14,-1,,,,,,,,-1,-1,,,,,-1,-1,-1,-1,,,,,,,,,
15,0,0.492487370967865,0.1920640766620636,0.18861638009548187,0.1471865475177765,0.09234137943528023,0.47485782073154753,0.0923413791152946,155,554,,,,,-1,-1,-1,-1,,,,,,,,,
15,1,0.492487370967865,0.1920640766620636,0.18861638009548187,-0.1471865475177765,0.09234137943528023,0.47485782073154753,0.0923413791152946,167,524,,,,,-1,-1,-1,-1,,,,,,,,,
16,0,0.492487370967865,0.19335636496543884,0.22053326666355133,0.0,0.09234138437331824,0.4716044724025681,0.10773161515893981,160,479,,,,,-1,-1,-1,-1,,,,,,,,,
16,1,0.42213204503059387,0.3184681832790375,0.06254076212644577,0.1471865475177765,0.13191626065565476,0.40012184091840863,0.026383252953424127,159,558,,,,,-1,-1,-1,-1,,,,,,,,,
16,2,0.492487370967865,0.25472190976142883,0.12532782554626465,0.1471865475177765,0.12312183590438767,0.472858411561577,0.06156091862403261,183,562,,,,,-1,-1,-1,-1,,,,,,,,,
16,3,0.5628427267074585,0.09784951061010361,0.2850964367389679,0.1471865475177765,0.05276650578952255,0.5375396677721799,0.15829951498859912,152,569,,,,,-1,-1,-1,-1,,,,,,,,,
16,4,0.492487370967865,0.25472190976142883,0.12532782554626465,0.294373095035553,0.12312183590438767,0.472858411561577,0.06156091862403261,173,493,,,,,-1,-1,-1,-1,,,,,,,,,
16,5,0.42213204503059387,0.31927934288978577,0.09388787299394608,-0.1471865475177765,0.1319162621862015,0.39903307158358925,0.03957487833334186,161,532,,,,,-1,-1,-1,-1,,,,,,,,,
16,6,0.492487370967865,0.2558923363685608,0.15689286589622498,-0.1471865475177765,0.12312183816064248,0.47059892070035125,0.07695114922110356,187,532,,,,,-1,-1,-1,-1,,,,,,,,,
