frame,object_index,tlv1_range,tlv1_angle,tlv1_elevation,tlv1_doppler,tlv1_x_derived,tlv1_y_derived,tlv1_z_derived,tlv7_snr,tlv7_noise,tlv8_x,tlv8_y,tlv8_z,tlv8_doppler,tlv9_snr,tlv9_noise,tlv11_targetID,tlv10_targetID,tlv10_x,tlv10_y,tlv10_vx,tlv10_vy,tlv10_ax,tlv10_ay,tlv10_z,tlv10_vz,tlv10_az
6,4,0.7035534381866455,-0.06459463387727737,-0.252680242061615,-0.44155964255332947,-0.04397209070557539,0.6797920150558912,-0.17588835063608357,187,488,,,,,-1,-1,-1,-1,,,,,,,,,
6,5,0.7739087343215942,-0.09784951061010361,-0.2850964367389679,-0.44155964255332947,-0.07255394406360964,0.73911702895548,-0.21766182891837224,188,482,,,,,-1,-1,-1,-1,,,,,,,,,
6,6,0.9146194458007812,0.1284555047750473,-0.22053326666355133,-0.44155964255332947,0.11432743321565246,0.8851151110241562,-0.2000730088941142,231,423,,,,,-1,-1,-1,-1,,,,,,,,,
6,7,0.8442640900611877,0.1920640766620636,-0.18861638009548187,-0.294373095035553,0.15829951239299633,0.8140420030273585,-0.15829951184444954,251,431,,,,,-1,-1,-1,-1,,,,,,,,,
6,8,0.9146194458007812,0.1920640766620636,-0.18861638009548187,-0.294373095035553,0.17149114121971368,0.8818788509807166,-0.17149114062545465,224,453,,,,,-1,-1,-1,-1,,,,,,,,,
6,9,0.98497474193573,0.1909906268119812,-0.15689286589622498,-0.294373095035553,0.18468276691292163,0.9551866835289065,-0.15390229844220712,152,479,,,,,-1,-1,-1,-1,,,,,,,,,
6,10,0.8442640900611877,0.1284555047750473,-0.22053326666355133,-0.1471865475177765,0.10553301355662209,0.8170293199418635,-0.18468277443183242,248,459,,,,,-1,-1,-1,-1,,,,,,,,,
6,11,0.9146194458007812,0.15974979102611542,-0.18861638009548187,-0.1471865475177765,0.14290928656007987,0.8869591056744374,-0.17149114062545465,195,490,,,,,-1,-1,-1,-1,,,,,,,,,
7,0,0.633198082447052,0.2663176357746124,0.31782370805740356,0.0,0.15829952210729697,0.5802816501098872,0.19787440324855432,176,541,,,,,-1,-1,-1,0,-0.011734937317669392,0.6219043135643005,0.010033484548330307,-0.5317342281341553,0.9949249029159546,0.6065201759338379,-0.020688092336058617,0.01768852025270462,0.0
7,1,0.5628427267074585,0.20666362345218658,0.4183463752269745,0.1471865475177765,0.10553300964998963,0.5033603853687572,0.22865485195621432,156,583,,,,,-1,-1,-1,-1,,,,,,,,,
7,2,0.633198082447052,0.2694728374481201,0.3509073555469513,0.1471865475177765,0.15829952317085544,0.5731530271449108,0.21766184795027502,191,585,,,,,-1,-1,-1,-1,,,,,,,,,
7,3,0.7035534381866455,0.2974470555782318,0.2850964367389679,0.1471865475177765,0.19787440554344962,0.645506685481768,0.19787440211765195,161,591,,,,,-1,-1,-1,-1,,,,,,,,,
7,4,0.633198082447052,0.30058419704437256,0.31782370805740356,0.294373095035553,0.17808695937718577,0.5745176821068615,0.19787440324855432,181,526,,,,,-1,-1,-1,-1,,,,,,,,,
7,5,0.492487370967865,-0.4014720618724823,-0.2850964367389679,-1.324678897857666,-0.1846827705637097,0.4350292988863672,-0.13851207142407268,169,474,,,,,-1,-1,-1,-1,,,,,,,,,
7,6,0.5628427267074585,-0.4014720618724823,-0.2850964367389679,-1.324678897857666,-0.21106602988759468,0.49717635662745485,-0.15829951498859912,199,468,,,,,-1,-1,-1,-1,,,,,,,,,
