frame,object_index,tlv1_range,tlv1_angle,tlv1_elevation,tlv1_doppler,tlv1_x_derived,tlv1_y_derived,tlv1_z_derived,tlv7_snr,tlv7_noise,tlv8_x,tlv8_y,tlv8_z,tlv8_doppler,tlv9_snr,tlv9_noise,tlv11_targetID,tlv10_targetID,tlv10_x,tlv10_y,tlv10_vx,tlv10_vy,tlv10_ax,tlv10_ay,tlv10_z,tlv10_vz,tlv10_az
1,0,0.492487370967865,0.4881344735622406,0.0312550887465477,0.0,0.23085345775198376,0.4347569808675262,0.015390230464356615,152,564,,,,,-1,-1,-1,-1,,,,,,,,,
1,1,0.5628427267074585,0.4185636341571808,0.0312550887465477,0.0,0.22865485403718772,0.5140034295642388,0.017588835348591892,154,570,,,,,-1,-1,-1,-1,,,,,,,,,
1,2,0.492487370967865,0.4881344735622406,0.0312550887465477,0.1471865475177765,0.23085345775198376,0.4347569808675262,0.015390230464356615,156,628,,,,,-1,-1,-1,-1,,,,,,,,,
1,3,0.5628427267074585,0.4185636341571808,0.0312550887465477,0.1471865475177765,0.22865485403718772,0.5140034295642388,0.017588835348591892,162,630,,,,,-1,-1,-1,-1,,,,,,,,,
1,4,0.492487370967865,0.4881344735622406,0.0312550887465477,0.294373095035553,0.23085345775198376,0.4347569808675262,0.015390230464356615,152,559,,,,,-1,-1,-1,-1,,,,,,,,,
1,5,0.5628427267074585,0.4183463752269745,0.0,0.294373095035553,0.22865485195621432,0.5143042812230602,0.0,156,564,,,,,-1,-1,-1,-1,,,,,,,,,
1,6,0.492487370967865,0.4881344735622406,0.0312550887465477,-0.1471865475177765,0.23085345775198376,0.4347569808675262,0.015390230464356615,156,563,,,,,-1,-1,-1,-1,,,,,,,,,
1,7,0.5628427267074585,0.4185636341571808,0.0312550887465477,-0.1471865475177765,0.22865485403718772,0.5140034295642388,0.017588835348591892,168,562,,,,,-1,-1,-1,-1,,,,,,,,,
2,0,0.5628427267074585,0.3219173550605774,0.15689286589622498,0.0,0.17588835448283555,0.5273718272387085,0.08794417319932563,153,564,,,,,-1,-1,-1,-1,,,,,,,,,
2,1,0.5628427267074585,0.3538026511669159,0.12532782554626465,0.1471865475177765,0.19347718343465398,0.5238402819132291,0.0703553376990602,157,622,,,,,-1,-1,-1,-1,,,,,,,,,
2,2,0.5628427267074585,0.3538026511669159,0.12532782554626465,0.294373095035553,0.19347718343465398,0.5238402819132291,0.0703553376990602,150,559,,,,,-1,-1,-1,-1,,,,,,,,,
2,3,0.5628427267074585,0.41921743750572205,0.06254076212644577,-0.1471865475177765,0.22865485205301758,0.5130998198508124,0.0351776706045655,164,548,,,,,-1,-1,-1,-1,,,,,,,,,
2,4,0.633198082447052,0.22997313737869263,0.2850964367389679,-0.1471865475177765,0.13851208375395171,0.5916411492298852,0.17808695855312554,160,544,,,,,-1,-1,-1,-1,,,,,,,,,
3,0,0.5628427267074585,0.565040111541748,0.12532782554626465,0.0,0.29901021175017184,0.4716301037188524,0.0703553376990602,155,554,,,,,-1,-1,-1,-1,,,,,,,,,
3,1,0.5628427267074585,0.6004191040992737,0.09388787299394608,0.1471865475177765,0.3165990264493829,0.46235558552644623,0.05276650444445581,158,613,,,,,-1,-1,-1,-1,,,,,,,,,
3,2,0.5628427267074585,0.6004191040992737,0.09388787299394608,0.294373095035553,0.3165990264493829,0.46235558552644623,0.05276650444445581,152,549,,,,,-1,-1,-1,-1,,,,,,,,,
3,3,0.5628427267074585,0.6058911085128784,0.15689286589622498,-0.1471865475177765,0.3165990293107321,0.456971347074711,0.08794417319932563,168,537,,,,,-1,-1,-1,-1,,,,,,,,,
4,0,0.492487370967865,0.5603817105293274,0.0312550887465477,0.0,0.26163390393868025,0.4169588129286859,0.015390230464356615,187,523,,,,,-1,-1,-1,-1,,,,,,,,,
4,1,0.5628427267074585,0.5603817105293274,0.0312550887465477,0.0,0.2990101849770535,0.47652437205095316,0.017588835348591892,206,527,,,,,-1,-1,-1,-1,,,,,,,,,
4,2,0.633198082447052,0.5977389216423035,0.0312550887465477,0.0,0.35617393630738386,0.5231523639619338,0.01978744023282717,156,536,,,,,-1,-1,-1,-1,,,,,,,,,
4,3,0.492487370967865,0.5600752830505371,0.0,0.1471865475177765,0.26163390615664167,0.41724274674589257,0.0,184,596,,,,,-1,-1,-1,-1,,,,,,,,,
4,4,0.5628427267074585,0.5600752830505371,0.0,0.1471865475177765,0.2990101875118666,0.4768488678518647,0.0,203,599,,,,,-1,-1,-1,-1,,,,,,,,,
4,5,0.633198082447052,0.5974063873291016,0.0,0.1471865475177765,0.35617390602863486,0.5235264656910181,0.0,156,606,,,,,-1,-1,-1,-1,,,,,,,,,
4,6,0.492487370967865,0.5600752830505371,0.0,0.294373095035553,0.26163390615664167,0.41724274674589257,0.0,176,531,,,,,-1,-1,-1,-1,,,,,,,,,
4,7,0.5628427267074585,0.5974063873291016,0.0,0.294373095035553,0.3165990201304285,0.46535684744069183,0.0,200,530,,,,,-1,-1,-1,-1,,,,,,,,,
4,8,0.633198082447052,0.5977389216423035,-0.0312550887465477,0.294373095035553,0.35617393630738386,0.5231523639619338,-0.01978744023282717,150,537,,,,,-1,-1,-1,-1,,,,,,,,,
4,9,0.492487370967865,0.5238808989524841,0.0312550887465477,-0.1471865475177765,0.2462436788394102,0.4262288141371097,0.015390230464356615,179,548,,,,,-1,-1,-1,-1,,,,,,,,,
4,10,0.5628427267074585,0.5603817105293274,0.0312550887465477,-0.1471865475177765,0.2990101849770535,0.47652437205095316,0.017588835348591892,197,548,,,,,-1,-1,-1,-1,,,,,,,,,
4,11,0.633198082447052,0.5974063873291016,0.0,-0.1471865475177765,0.35617390602863486,0.5235264656910181,0.0,154,549,,,,,-1,-1,-1,-1,,,,,,,,,
5,0,0.492487370967865,0.49448567628860474,0.15689286589622498,0.0,0.23085345620979897,0.4281693741411001,0.07695114922110356,150,489,,,,,-1,-1,-1,-1,,,,,,,,,
5,1,0.5628427267074585,0.5281689167022705,0.12532782554626465,0.0,0.2814213592532658,0.48233191893216265,0.0703553376990602,173,495,,,,,-1,-1,-1,-1,,,,,,,,,
5,2,0.5628427267074585,0.4920748472213745,0.12532782554626465,0.1471865475177765,0.2638325218846994,0.4921732031111585,0.0703553376990602,172,571,,,,,-1,-1,-1,-1,,,,,,,,,
5,3,0.5628427267074585,0.4920748472213745,0.12532782554626465,0.294373095035553,0.2638325218846994,0.4921732031111585,0.0703553376990602,172,497,,,,,-1,-1,-1,-1,,,,,,,,,
5,4,0.5628427267074585,0.45887571573257446,0.15689286589622498,-0.1471865475177765,0.24624369916909164,0.49841929941294977,0.08794417319932563,161,534,,,,,-1,-1,-1,-1,,,,,,,,,
6,0,0.8442640900611877,0.22458280622959137,-0.18861638009548187,0.1471865475177765,0.1846827679723741,0.8084648375351375,-0.15829951184444954,165,464,,,,,-1,-1,-1,-1,,,,,,,,,
6,1,0.8442640900611877,0.2538226246833801,-0.09388787299394608,-0.1471865475177765,0.21106602504183175,0.8136143452886575,-0.07914975666668372,150,444,,,,,-1,-1,-1,-1,,,,,,,,,
7,0,0.5628427267074585,-0.3663491904735565,-0.2850964367389679,-1.324678897857666,-0.19347718487454071,0.5042814467089624,-0.15829951498859912,248,454,,,,,-1,-1,-1,0,-0.13990235328674316,0.6422306895256042,0.16868865489959717,-0.7743760347366333,0.9946434497833252,0.14668920636177063,-0.17453472316265106,0.21044698357582092,0.0
7,1,0.633198082447052,-0.3702767491340637,-0.31782370805740356,-1.324678897857666,-0.21766184455815854,0.5607217256154716,-0.19787440324855432,265,451,,,,,-1,-1,-1,-1,,,,,,,,,
7,2,0.7035534381866455,-0.3702767491340637,-0.31782370805740356,-1.324678897857666,-0.24184649850664217,0.6230241513021351,-0.21986045219316075,214,452,,,,,-1,-1,-1,-1,,,,,,,,,
7,3,0.492487370967865,-0.3663491904735565,-0.2850964367389679,-1.177492380142212,-0.169292531642949,0.4412462525195802,-0.13851207142407268,188,495,,,,,-1,-1,-1,-1,,,,,,,,,
7,4,0.5628427267074585,-0.3663491904735565,-0.2850964367389679,-1.177492380142212,-0.19347718487454071,0.5042814467089624,-0.15829951498859912,271,489,,,,,-1,-1,-1,-1,,,,,,,,,
7,5,0.633198082447052,-0.3702767491340637,-0.31782370805740356,-1.177492380142212,-0.21766184455815854,0.5607217256154716,-0.19787440324855432,285,484,,,,,-1,-1,-1,-1,,,,,,,,,
7,6,0.7035534381866455,-0.37476846575737,-0.3509073555469513,-1.177492380142212,-0.24184649053743376,0.6148235395103263,-0.2418465022756605,230,486,,,,,-1,-1,-1,-1,,,,,,,,,
7,7,0.492487370967865,-0.3316936194896698,-0.2850964367389679,-1.0303058624267578,-0.15390230081326872,0.44684706381158446,-0.13851207142407268,195,502,,,,,-1,-1,-1,-1,,,,,,,,,
7,8,0.5628427267074585,-0.3352188467979431,-0.31782370805740356,-1.0303058624267578,-0.17588834955360494,0.5048945536634798,-0.17588835430394792,266,496,,,,,-1,-1,-1,-1,,,,,,,,,
7,9,0.633198082447052,-0.3352188467979431,-0.31782370805740356,-1.0303058624267578,-0.1978743979044184,0.5680063862384085,-0.19787440324855432,268,494,,,,,-1,-1,-1,-1,,,,,,,,,
7,10,0.7035534381866455,-0.37476846575737,-0.3509073555469513,-1.0303058624267578,-0.24184649053743376,0.6148235395103263,-0.2418465022756605,205,498,,,,,-1,-1,-1,-1,,,,,,,,,
7,11,0.492487370967865,-0.26355645060539246,-0.2850964367389679,-0.8831192851066589,-0.12312183976839079,0.45628853722693796,-0.13851207142407268,177,505,,,,,-1,-1,-1,-1,,,,,,,,,
7,12,0.5628427267074585,-0.2663176357746124,-0.31782370805740356,-0.8831192851066589,-0.1407106830062281,0.5158058990702379,-0.17588835430394792,243,496,,,,,-1,-1,-1,-1,,,,,,,,,
7,13,0.633198082447052,-0.2663176357746124,-0.31782370805740356,-0.8831192851066589,-0.15829952210729697,0.5802816501098872,-0.19787440324855432,240,489,,,,,-1,-1,-1,-1,,,,,,,,,
7,14,0.8442640900611877,-0.031643882393836975,-0.15689286589622498,-0.44155964255332947,-0.026383254317720962,0.8334769811213131,-0.13191625979898844,264,406,,,,,-1,-1,-1,-1,,,,,,,,,
7,15,0.7739087343215942,0.0,-0.15689286589622498,-0.294373095035553,0.0,0.7644032313497159,-0.12092323582076638,193,527,,,,,-1,-1,-1,-1,,,,,,,,,
7,16,0.8442640900611877,0.031643882393836975,-0.15689286589622498,-0.294373095035553,0.026383254317720962,0.8334769811213131,-0.13191625979898844,304,424,,,,,-1,-1,-1,-1,,,,,,,,,
7,17,0.9146194458007812,0.031643882393836975,-0.15689286589622498,-0.294373095035553,0.02858185930985902,0.9029334109255258,-0.14290928377721052,243,446,,,,,-1,-1,-1,-1,,,,,,,,,
7,18,0.7739087343215942,0.031643882393836975,-0.15689286589622498,-0.1471865475177765,0.0241846493255829,0.7640205513171002,-0.12092323582076638,157,549,,,,,-1,-1,-1,-1,,,,,,,,,
7,19,0.8442640900611877,0.06331950426101685,-0.15689286589622498,-0.1471865475177765,0.052766506712527195,0.8322233173474822,-0.13191625979898844,283,438,,,,,-1,-1,-1,-1,,,,,,,,,
7,20,0.9146194458007812,0.12689466774463654,-0.15689286589622498,-0.1471865475177765,0.11432742536742736,0.8961221496292056,-0.14290928377721052,228,470,,,,,-1,-1,-1,-1,,,,,,,,,
8,0,0.42213204503059387,-0.12689466774463654,-0.15689286589622498,-1.177492380142212,-0.05276650315605337,0.4135948315520335,-0.06595812989949422,151,502,,,,,-1,-1,-1,0,-0.10566134750843048,0.5731261968612671,0.3459659814834595,-0.7018977403640747,0.9871970415115356,0.10583128780126572,-0.1165723130106926,0.5850070714950562,0.0
8,1,0.492487370967865,-0.15886034071445465,-0.15689286589622498,-1.177492380142212,-0.07695115243872576,0.4803132845703343,-0.07695114922110356,197,496,,,,,-1,-1,-1,-1,,,,,,,,,
8,2,0.5628427267074585,-0.15886034071445465,-0.15689286589622498,-1.177492380142212,-0.08794417687660824,0.5489294846893084,-0.08794417319932563,179,492,,,,,-1,-1,-1,-1,,,,,,,,,
8,3,0.492487370967865,-0.06459463387727737,-0.252680242061615,-1.0303058624267578,-0.030780461258728548,0.4758543759841694,-0.12312183650456224,182,516,,,,,-1,-1,-1,-1,,,,,,,,,
8,4,0.7739087343215942,0.0,0.0,-0.588746190071106,0.0,0.7739087343215942,0.0,210,546,,,,,-1,-1,-1,-1,,,,,,,,,
8,5,0.8442640900611877,-0.03127036616206169,0.0312550887465477,-0.588746190071106,-0.026383253002610494,0.8434392104282181,0.02638325302288784,236,458,,,,,-1,-1,-1,-1,,,,,,,,,
8,6,0.7035534381866455,0.0,0.0,-0.44155964255332947,0.0,0.7035534381866455,0.0,182,571,,,,,-1,-1,-1,-1,,,,,,,,,
8,7,0.7739087343215942,0.0,0.0,-0.44155964255332947,0.0,0.7739087343215942,0.0,205,568,,,,,-1,-1,-1,-1,,,,,,,,,
8,8,0.8442640900611877,0.0,0.0312550887465477,-0.44155964255332947,0.0,0.8438517510361495,0.02638325302288784,266,452,,,,,-1,-1,-1,-1,,,,,,,,,
8,9,0.7035534381866455,0.0,0.0312550887465477,-0.294373095035553,0.0,0.7032098223178915,0.02198604511706245,151,560,,,,,-1,-1,-1,-1,,,,,,,,,
8,10,0.7739087343215942,0.0,0.06254076212644577,-0.294373095035553,0.0,0.7723957148050538,0.048369296149954985,175,555,,,,,-1,-1,-1,-1,,,,,,,,,
8,11,0.8442640900611877,0.0,0.09388787299394608,-0.294373095035553,0.0,0.8405457571045434,0.07914975666668372,240,450,,,,,-1,-1,-1,-1,,,,,,,,,
8,12,0.7739087343215942,-0.031393397599458694,0.09388787299394608,-0.1471865475177765,-0.02418464812316192,0.7701206121924005,0.07255394221414291,152,561,,,,,-1,-1,-1,-1,,,,,,,,,
8,13,0.8442640900611877,-0.06281778961420059,0.09388787299394608,-0.1471865475177765,-0.052766507117926534,0.8388878742198053,0.07914975666668372,224,460,,,,,-1,-1,-1,-1,,,,,,,,,
9,0,0.35177671909332275,-0.15886034071445465,0.15689286589622498,-0.7359327077865601,-0.05496511287618661,0.3430809424636283,0.054965110577884876,193,535,,,,,-1,-1,-1,0,-0.0723050981760025,0.5309028625488281,0.34405991435050964,-0.5694442987442017,0.9798250794410706,0.0835769772529602,0.06398285925388336,1.2479060888290405,0.0
